Country of residence,Origin,Year,Month,Values
Hungary,Uganda,2007,February,1
Hungary,Uganda,2007,July,2
Ireland,Uganda,2007,January,1
Ireland,Uganda,2007,February,1
Ireland,Uganda,2007,March,5
Ireland,Uganda,2007,April,3
Ireland,Uganda,2007,May,4
Ireland,Uganda,2007,June,3
Ireland,Uganda,2007,July,8
Ireland,Uganda,2007,August,3
Ireland,Uganda,2007,October,4
Ireland,Uganda,2007,November,2
Ireland,Uganda,2007,December,4
Japan,Uganda,2007,March,1
Japan,Uganda,2007,April,2
Japan,Uganda,2007,December,1
Netherlands,Uganda,2007,January,2
Netherlands,Uganda,2007,February,2
Netherlands,Uganda,2007,March,1
Netherlands,Uganda,2007,April,3
Netherlands,Uganda,2007,July,2
Netherlands,Uganda,2007,August,3
Netherlands,Uganda,2007,September,6
Netherlands,Uganda,2007,October,5
Netherlands,Uganda,2007,November,4
Netherlands,Uganda,2007,December,1
New Zealand,Uganda,2007,May,1
Norway,Uganda,2007,February,1
Norway,Uganda,2007,March,3
Norway,Uganda,2007,May,1
Norway,Uganda,2007,June,2
Norway,Uganda,2007,July,1
Norway,Uganda,2007,August,2
Norway,Uganda,2007,September,2
Norway,Uganda,2007,November,2
Norway,Uganda,2007,December,1
Poland,Uganda,2007,May,1
Rep. of Korea,Uganda,2007,January,7
Rep. of Korea,Uganda,2007,May,5
Rep. of Korea,Uganda,2007,June,2
Rep. of Korea,Uganda,2007,July,3
Rep. of Korea,Uganda,2007,September,2
Rep. of Korea,Uganda,2007,October,15
Rep. of Korea,Uganda,2007,November,13
Rep. of Korea,Uganda,2007,December,3
Spain,Uganda,2007,September,2
Spain,Uganda,2007,October,7
Spain,Uganda,2007,November,3
Spain,Uganda,2007,December,1
Sweden,Uganda,2007,January,1
Sweden,Uganda,2007,February,1
Sweden,Uganda,2007,March,2
Sweden,Uganda,2007,April,1
Sweden,Uganda,2007,May,1
Sweden,Uganda,2007,June,5
Sweden,Uganda,2007,July,3
Sweden,Uganda,2007,August,6
Sweden,Uganda,2007,September,1
Sweden,Uganda,2007,October,4
Sweden,Uganda,2007,November,5
Sweden,Uganda,2007,December,1
Switzerland,Uganda,2007,January,1
Switzerland,Uganda,2007,March,1
Switzerland,Uganda,2007,May,3
Switzerland,Uganda,2007,June,3
Switzerland,Uganda,2007,August,1
Switzerland,Uganda,2007,September,3
Switzerland,Uganda,2007,October,4
Switzerland,Uganda,2007,November,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,January,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,February,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,March,7
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,April,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,May,21
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,June,8
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,July,16
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,August,10
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,September,6
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,October,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,November,6
United Kingdom of Great Britain and Northern Ireland,Uganda,2007,December,16
USA (EOIR),Uganda,2007,February,2
USA (EOIR),Uganda,2007,March,2
USA (EOIR),Uganda,2007,April,1
USA (EOIR),Uganda,2007,May,1
USA (EOIR),Uganda,2007,June,2
USA (EOIR),Uganda,2007,July,1
USA (EOIR),Uganda,2007,August,1
USA (EOIR),Uganda,2007,September,2
USA (EOIR),Uganda,2007,October,2
USA (EOIR),Uganda,2007,November,2
USA (EOIR),Uganda,2007,December,3
USA (INS/DHS),Uganda,2007,January,7
USA (INS/DHS),Uganda,2007,February,8
USA (INS/DHS),Uganda,2007,March,4
USA (INS/DHS),Uganda,2007,April,5
USA (INS/DHS),Uganda,2007,May,7
USA (INS/DHS),Uganda,2007,June,10
USA (INS/DHS),Uganda,2007,July,6
USA (INS/DHS),Uganda,2007,August,3
USA (INS/DHS),Uganda,2007,September,4
USA (INS/DHS),Uganda,2007,October,6
USA (INS/DHS),Uganda,2007,November,3
USA (INS/DHS),Uganda,2007,December,5
Australia,Uganda,2008,February,1
Australia,Uganda,2008,March,1
Australia,Uganda,2008,May,2
Australia,Uganda,2008,June,1
Australia,Uganda,2008,August,8
Australia,Uganda,2008,September,1
Australia,Uganda,2008,November,1
Australia,Uganda,2008,December,2
Austria,Uganda,2008,April,1
Austria,Uganda,2008,July,1
Austria,Uganda,2008,August,1
Austria,Uganda,2008,September,1
Austria,Uganda,2008,October,1
Austria,Uganda,2008,November,1
Austria,Uganda,2008,December,1
Belgium,Uganda,2008,January,2
Belgium,Uganda,2008,April,1
Belgium,Uganda,2008,June,1
Belgium,Uganda,2008,July,1
Belgium,Uganda,2008,September,3
Belgium,Uganda,2008,October,1
Belgium,Uganda,2008,November,1
Belgium,Uganda,2008,December,3
Bulgaria,Uganda,2008,June,1
Canada,Uganda,2008,January,8
Canada,Uganda,2008,February,4
Canada,Uganda,2008,March,3
Canada,Uganda,2008,April,13
Canada,Uganda,2008,May,8
Canada,Uganda,2008,June,8
Canada,Uganda,2008,July,5
Canada,Uganda,2008,August,6
Canada,Uganda,2008,September,14
Canada,Uganda,2008,October,9
Canada,Uganda,2008,November,2
Canada,Uganda,2008,December,5
Denmark,Uganda,2008,February,1
Denmark,Uganda,2008,March,3
Denmark,Uganda,2008,April,1
Denmark,Uganda,2008,July,1
Denmark,Uganda,2008,August,3
Denmark,Uganda,2008,September,3
Denmark,Uganda,2008,October,1
Denmark,Uganda,2008,November,1
Denmark,Uganda,2008,December,3
Finland,Uganda,2008,February,1
France,Uganda,2008,April,2
France,Uganda,2008,May,1
France,Uganda,2008,July,1
France,Uganda,2008,August,1
France,Uganda,2008,September,1
France,Uganda,2008,October,2
France,Uganda,2008,November,1
France,Uganda,2008,December,1
Germany,Uganda,2008,January,1
Germany,Uganda,2008,February,6
Germany,Uganda,2008,March,3
Germany,Uganda,2008,April,1
Germany,Uganda,2008,May,1
Germany,Uganda,2008,June,2
Germany,Uganda,2008,July,3
Germany,Uganda,2008,August,3
Germany,Uganda,2008,September,5
Germany,Uganda,2008,October,2
Germany,Uganda,2008,December,1
Greece,Uganda,2008,January,1
Greece,Uganda,2008,March,1
Greece,Uganda,2008,May,1
Greece,Uganda,2008,June,1
Greece,Uganda,2008,August,1
Greece,Uganda,2008,October,1
Hungary,Uganda,2008,September,1
Ireland,Uganda,2008,January,7
Ireland,Uganda,2008,February,4
Ireland,Uganda,2008,March,5
Ireland,Uganda,2008,April,2
Ireland,Uganda,2008,May,6
Ireland,Uganda,2008,June,3
Ireland,Uganda,2008,July,5
Ireland,Uganda,2008,August,3
Ireland,Uganda,2008,September,2
Ireland,Uganda,2008,October,5
Ireland,Uganda,2008,November,1
Ireland,Uganda,2008,December,3
Italy,Uganda,2008,January,1
Italy,Uganda,2008,February,3
Italy,Uganda,2008,March,4
Italy,Uganda,2008,April,1
Italy,Uganda,2008,August,3
Italy,Uganda,2008,September,1
Italy,Uganda,2008,November,2
Japan,Uganda,2008,February,1
Japan,Uganda,2008,March,3
Japan,Uganda,2008,May,1
Japan,Uganda,2008,July,1
Japan,Uganda,2008,August,2
Japan,Uganda,2008,September,2
Japan,Uganda,2008,October,2
Japan,Uganda,2008,November,1
Japan,Uganda,2008,December,3
Netherlands,Uganda,2008,January,8
Netherlands,Uganda,2008,February,1
Netherlands,Uganda,2008,June,2
Netherlands,Uganda,2008,July,3
Netherlands,Uganda,2008,August,2
Netherlands,Uganda,2008,September,7
Netherlands,Uganda,2008,November,3
Netherlands,Uganda,2008,December,2
New Zealand,Uganda,2008,February,1
Norway,Uganda,2008,January,1
Norway,Uganda,2008,February,1
Norway,Uganda,2008,March,3
Norway,Uganda,2008,April,1
Norway,Uganda,2008,June,1
Norway,Uganda,2008,July,8
Norway,Uganda,2008,August,2
Norway,Uganda,2008,October,1
Norway,Uganda,2008,November,2
Norway,Uganda,2008,December,4
Rep. of Korea,Uganda,2008,March,3
Rep. of Korea,Uganda,2008,April,2
Rep. of Korea,Uganda,2008,May,1
Rep. of Korea,Uganda,2008,June,2
Rep. of Korea,Uganda,2008,July,1
Rep. of Korea,Uganda,2008,October,8
Rep. of Korea,Uganda,2008,November,4
Spain,Uganda,2008,June,1
Spain,Uganda,2008,July,1
Spain,Uganda,2008,August,1
Spain,Uganda,2008,October,2
Spain,Uganda,2008,November,5
Spain,Uganda,2008,December,1
Sweden,Uganda,2008,January,1
Sweden,Uganda,2008,February,6
Sweden,Uganda,2008,March,2
Sweden,Uganda,2008,April,5
Sweden,Uganda,2008,May,2
Sweden,Uganda,2008,June,3
Sweden,Uganda,2008,July,3
Sweden,Uganda,2008,August,8
Sweden,Uganda,2008,September,6
Sweden,Uganda,2008,October,3
Sweden,Uganda,2008,November,2
Sweden,Uganda,2008,December,4
Switzerland,Uganda,2008,February,1
Switzerland,Uganda,2008,April,1
Switzerland,Uganda,2008,August,5
Switzerland,Uganda,2008,September,2
Switzerland,Uganda,2008,October,1
Switzerland,Uganda,2008,November,5
Turkey,Uganda,2008,March,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,January,15
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,February,13
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,March,7
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,April,12
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,May,12
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,June,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,July,8
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,August,9
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,September,10
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,October,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,November,24
United Kingdom of Great Britain and Northern Ireland,Uganda,2008,December,17
USA (EOIR),Uganda,2008,January,1
USA (EOIR),Uganda,2008,February,2
USA (EOIR),Uganda,2008,March,2
USA (EOIR),Uganda,2008,April,2
USA (EOIR),Uganda,2008,June,4
USA (EOIR),Uganda,2008,July,2
USA (EOIR),Uganda,2008,August,2
USA (EOIR),Uganda,2008,October,2
USA (EOIR),Uganda,2008,November,1
USA (EOIR),Uganda,2008,December,2
USA (INS/DHS),Uganda,2008,January,6
USA (INS/DHS),Uganda,2008,February,4
USA (INS/DHS),Uganda,2008,March,6
USA (INS/DHS),Uganda,2008,April,3
USA (INS/DHS),Uganda,2008,May,8
USA (INS/DHS),Uganda,2008,June,11
USA (INS/DHS),Uganda,2008,July,7
USA (INS/DHS),Uganda,2008,August,7
USA (INS/DHS),Uganda,2008,September,7
USA (INS/DHS),Uganda,2008,October,8
USA (INS/DHS),Uganda,2008,November,5
USA (INS/DHS),Uganda,2008,December,7
Australia,Uganda,2009,April,1
Australia,Uganda,2009,June,1
Australia,Uganda,2009,October,1
Austria,Uganda,2009,March,2
Austria,Uganda,2009,August,1
Belgium,Uganda,2009,January,2
Belgium,Uganda,2009,February,1
Belgium,Uganda,2009,April,2
Belgium,Uganda,2009,May,1
Belgium,Uganda,2009,June,5
Belgium,Uganda,2009,July,2
Belgium,Uganda,2009,September,2
Belgium,Uganda,2009,October,2
Belgium,Uganda,2009,December,2
Canada,Uganda,2009,January,7
Canada,Uganda,2009,February,3
Canada,Uganda,2009,March,6
Canada,Uganda,2009,April,6
Canada,Uganda,2009,May,4
Canada,Uganda,2009,June,7
Canada,Uganda,2009,July,6
Canada,Uganda,2009,August,6
Canada,Uganda,2009,September,12
Canada,Uganda,2009,October,1
Canada,Uganda,2009,November,5
Canada,Uganda,2009,December,4
Denmark,Uganda,2009,January,3
Denmark,Uganda,2009,February,3
Denmark,Uganda,2009,March,3
Denmark,Uganda,2009,May,1
Denmark,Uganda,2009,June,2
Denmark,Uganda,2009,July,1
Denmark,Uganda,2009,August,1
Denmark,Uganda,2009,September,1
Denmark,Uganda,2009,October,1
Denmark,Uganda,2009,November,1
Denmark,Uganda,2009,December,2
Estonia,Uganda,2009,March,1
Finland,Uganda,2009,May,1
Finland,Uganda,2009,June,1
Finland,Uganda,2009,July,1
France,Uganda,2009,January,1
France,Uganda,2009,February,1
France,Uganda,2009,March,1
France,Uganda,2009,July,3
France,Uganda,2009,October,1
France,Uganda,2009,November,1
Germany,Uganda,2009,March,4
Germany,Uganda,2009,April,2
Germany,Uganda,2009,May,3
Germany,Uganda,2009,June,2
Germany,Uganda,2009,July,5
Germany,Uganda,2009,August,2
Germany,Uganda,2009,September,1
Germany,Uganda,2009,October,1
Germany,Uganda,2009,November,6
Germany,Uganda,2009,December,1
Greece,Uganda,2009,February,1
Greece,Uganda,2009,April,1
Greece,Uganda,2009,May,1
Greece,Uganda,2009,October,3
Ireland,Uganda,2009,February,2
Ireland,Uganda,2009,March,3
Ireland,Uganda,2009,April,3
Ireland,Uganda,2009,May,2
Ireland,Uganda,2009,June,6
Ireland,Uganda,2009,July,8
Ireland,Uganda,2009,August,2
Ireland,Uganda,2009,September,3
Ireland,Uganda,2009,October,1
Ireland,Uganda,2009,November,3
Italy,Uganda,2009,May,5
Italy,Uganda,2009,November,5
Japan,Uganda,2009,January,3
Japan,Uganda,2009,February,4
Japan,Uganda,2009,March,4
Japan,Uganda,2009,April,1
Japan,Uganda,2009,May,3
Japan,Uganda,2009,June,2
Japan,Uganda,2009,July,3
Japan,Uganda,2009,August,4
Japan,Uganda,2009,September,7
Japan,Uganda,2009,October,9
Japan,Uganda,2009,November,4
Japan,Uganda,2009,December,2
Netherlands,Uganda,2009,January,1
Netherlands,Uganda,2009,February,8
Netherlands,Uganda,2009,March,3
Netherlands,Uganda,2009,April,4
Netherlands,Uganda,2009,May,3
Netherlands,Uganda,2009,June,5
Netherlands,Uganda,2009,July,2
Netherlands,Uganda,2009,August,5
Netherlands,Uganda,2009,September,7
Netherlands,Uganda,2009,October,7
Netherlands,Uganda,2009,November,4
Netherlands,Uganda,2009,December,11
Norway,Uganda,2009,January,2
Norway,Uganda,2009,February,3
Norway,Uganda,2009,March,2
Norway,Uganda,2009,April,2
Norway,Uganda,2009,May,1
Norway,Uganda,2009,July,3
Norway,Uganda,2009,August,8
Norway,Uganda,2009,September,2
Norway,Uganda,2009,October,1
Norway,Uganda,2009,November,5
Norway,Uganda,2009,December,2
Poland,Uganda,2009,January,1
Poland,Uganda,2009,August,1
Poland,Uganda,2009,September,1
Rep. of Korea,Uganda,2009,January,1
Rep. of Korea,Uganda,2009,February,2
Rep. of Korea,Uganda,2009,March,2
Rep. of Korea,Uganda,2009,May,1
Rep. of Korea,Uganda,2009,June,4
Rep. of Korea,Uganda,2009,July,2
Rep. of Korea,Uganda,2009,August,2
Rep. of Korea,Uganda,2009,November,1
Spain,Uganda,2009,January,1
Spain,Uganda,2009,February,1
Spain,Uganda,2009,March,1
Spain,Uganda,2009,April,2
Spain,Uganda,2009,May,2
Spain,Uganda,2009,June,4
Spain,Uganda,2009,August,2
Spain,Uganda,2009,September,1
Spain,Uganda,2009,October,1
Spain,Uganda,2009,November,2
Sweden,Uganda,2009,January,2
Sweden,Uganda,2009,February,5
Sweden,Uganda,2009,March,4
Sweden,Uganda,2009,May,2
Sweden,Uganda,2009,July,6
Sweden,Uganda,2009,August,7
Sweden,Uganda,2009,September,3
Sweden,Uganda,2009,October,5
Sweden,Uganda,2009,November,5
Sweden,Uganda,2009,December,4
Switzerland,Uganda,2009,January,4
Switzerland,Uganda,2009,April,1
Switzerland,Uganda,2009,May,1
Switzerland,Uganda,2009,July,1
Switzerland,Uganda,2009,August,2
Switzerland,Uganda,2009,November,1
Switzerland,Uganda,2009,December,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,January,10
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,February,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,March,26
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,April,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,May,9
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,June,15
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,July,7
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,August,15
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,September,15
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,October,15
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,November,23
United Kingdom of Great Britain and Northern Ireland,Uganda,2009,December,22
USA (EOIR),Uganda,2009,January,1
USA (EOIR),Uganda,2009,February,1
USA (EOIR),Uganda,2009,March,1
USA (EOIR),Uganda,2009,April,1
USA (EOIR),Uganda,2009,May,2
USA (EOIR),Uganda,2009,June,5
USA (EOIR),Uganda,2009,July,2
USA (EOIR),Uganda,2009,August,1
USA (EOIR),Uganda,2009,October,5
USA (EOIR),Uganda,2009,November,3
USA (EOIR),Uganda,2009,December,1
USA (INS/DHS),Uganda,2009,January,6
USA (INS/DHS),Uganda,2009,February,4
USA (INS/DHS),Uganda,2009,March,9
USA (INS/DHS),Uganda,2009,April,3
USA (INS/DHS),Uganda,2009,May,8
USA (INS/DHS),Uganda,2009,June,7
USA (INS/DHS),Uganda,2009,July,3
USA (INS/DHS),Uganda,2009,August,9
USA (INS/DHS),Uganda,2009,September,5
USA (INS/DHS),Uganda,2009,October,10
USA (INS/DHS),Uganda,2009,November,5
USA (INS/DHS),Uganda,2009,December,9
Australia,Uganda,2010,April,1
Australia,Uganda,2010,June,2
Australia,Uganda,2010,July,3
Australia,Uganda,2010,September,1
Australia,Uganda,2010,October,1
Australia,Uganda,2010,December,1
Austria,Uganda,2010,January,1
Austria,Uganda,2010,March,1
Austria,Uganda,2010,April,1
Austria,Uganda,2010,July,6
Austria,Uganda,2010,August,1
Austria,Uganda,2010,November,3
Belgium,Uganda,2010,March,1
Belgium,Uganda,2010,May,2
Belgium,Uganda,2010,July,1
Belgium,Uganda,2010,August,3
Belgium,Uganda,2010,October,2
Belgium,Uganda,2010,November,1
Belgium,Uganda,2010,December,2
Canada,Uganda,2010,January,2
Canada,Uganda,2010,February,4
Canada,Uganda,2010,March,10
Canada,Uganda,2010,April,2
Canada,Uganda,2010,May,2
Canada,Uganda,2010,June,4
Canada,Uganda,2010,July,9
Canada,Uganda,2010,August,4
Canada,Uganda,2010,September,8
Canada,Uganda,2010,October,9
Canada,Uganda,2010,November,10
Canada,Uganda,2010,December,2
Denmark,Uganda,2010,January,1
Denmark,Uganda,2010,April,2
Denmark,Uganda,2010,May,3
Denmark,Uganda,2010,June,3
Denmark,Uganda,2010,July,1
Denmark,Uganda,2010,August,4
Denmark,Uganda,2010,September,2
Denmark,Uganda,2010,October,1
Denmark,Uganda,2010,November,1
Finland,Uganda,2010,December,1
France,Uganda,2010,February,3
France,Uganda,2010,March,2
France,Uganda,2010,April,1
France,Uganda,2010,May,1
France,Uganda,2010,June,1
France,Uganda,2010,July,1
France,Uganda,2010,August,4
France,Uganda,2010,September,1
France,Uganda,2010,October,3
France,Uganda,2010,November,1
Germany,Uganda,2010,January,3
Germany,Uganda,2010,February,1
Germany,Uganda,2010,March,6
Germany,Uganda,2010,April,3
Germany,Uganda,2010,May,1
Germany,Uganda,2010,June,5
Germany,Uganda,2010,July,4
Germany,Uganda,2010,August,12
Germany,Uganda,2010,September,4
Germany,Uganda,2010,October,3
Germany,Uganda,2010,November,5
Germany,Uganda,2010,December,4
Greece,Uganda,2010,February,1
Greece,Uganda,2010,March,5
Greece,Uganda,2010,June,2
Greece,Uganda,2010,August,1
Ireland,Uganda,2010,March,3
Ireland,Uganda,2010,April,3
Ireland,Uganda,2010,May,2
Ireland,Uganda,2010,June,1
Ireland,Uganda,2010,July,2
Ireland,Uganda,2010,August,1
Ireland,Uganda,2010,October,2
Ireland,Uganda,2010,November,1
Italy,Uganda,2010,January,1
Italy,Uganda,2010,March,1
Italy,Uganda,2010,April,2
Italy,Uganda,2010,August,1
Italy,Uganda,2010,September,1
Italy,Uganda,2010,November,2
Italy,Uganda,2010,December,1
Japan,Uganda,2010,January,1
Japan,Uganda,2010,March,1
Japan,Uganda,2010,April,2
Japan,Uganda,2010,May,2
Japan,Uganda,2010,June,1
Japan,Uganda,2010,July,5
Japan,Uganda,2010,August,1
Japan,Uganda,2010,September,1
Japan,Uganda,2010,October,2
Japan,Uganda,2010,November,3
Japan,Uganda,2010,December,2
Luxembourg,Uganda,2010,December,1
Netherlands,Uganda,2010,January,9
Netherlands,Uganda,2010,February,5
Netherlands,Uganda,2010,March,6
Netherlands,Uganda,2010,April,4
Netherlands,Uganda,2010,May,4
Netherlands,Uganda,2010,June,5
Netherlands,Uganda,2010,July,2
Netherlands,Uganda,2010,August,11
Netherlands,Uganda,2010,September,3
Netherlands,Uganda,2010,October,4
Netherlands,Uganda,2010,November,11
Netherlands,Uganda,2010,December,16
New Zealand,Uganda,2010,November,2
Norway,Uganda,2010,January,1
Norway,Uganda,2010,February,1
Norway,Uganda,2010,March,7
Norway,Uganda,2010,April,2
Norway,Uganda,2010,May,1
Norway,Uganda,2010,June,4
Norway,Uganda,2010,July,5
Norway,Uganda,2010,August,3
Norway,Uganda,2010,September,6
Norway,Uganda,2010,October,2
Norway,Uganda,2010,November,3
Norway,Uganda,2010,December,2
Poland,Uganda,2010,August,2
Rep. of Korea,Uganda,2010,March,1
Rep. of Korea,Uganda,2010,May,1
Rep. of Korea,Uganda,2010,June,2
Rep. of Korea,Uganda,2010,July,1
Rep. of Korea,Uganda,2010,August,2
Rep. of Korea,Uganda,2010,September,1
Rep. of Korea,Uganda,2010,October,2
